seed_net,seed_stim,MC_Baseline,MC_SFA,MC_SFA+STD,H_Baseline,H_SFA,H_SFA+STD
1001,2001,0.066830675438443,1.76220078663438,6.01503161515148,0,0.02,0.02
1002,2002,5.07112575902305,0.0628999187993249,5.07522804934599,0.025,0,0.02
1003,2003,0.0591608920279917,0.0554860858641197,0.759166748066139,0,0,0.015
1004,2004,0.0723602578491026,0.197308213702989,8.98084872206895,0,0,0.04
1005,2005,0.298421502984603,0.994532377305937,9.13254918583614,0,0.015,0.045
1006,2006,0.0797259711061611,2.35505157403891,4.1222259331115,0,0.015,0.015
1007,2007,0.170097555524737,0.547875531994468,7.67284208048145,0,0,0.045
1008,2008,3.41400151957045,1.19295012504963,7.01338734353013,0.015,0.015,0.045
1009,2009,2.62225871443597,0.0680480849580564,4.38500830241779,0.02,0,0.015
1010,2010,0.23253369596626,0.548894562214504,6.609867337973,0,0,0.04
1011,2011,0.157911336890601,0.208943595209169,10.9443297991964,0,0,0.04
1012,2012,0.0770566324894739,0.0397746713287722,2.70211463276281,0,0,0.015
1013,2013,0.267871673981497,0.151958514775413,8.97277084160373,0,0,0.04
1014,2014,0.0717884072408383,0.0440487408390837,2.28908521214059,0,0,0.015
1015,2015,3.0552038028019,3.86384886832125,9.12582654519277,0.015,0.015,0.045
1016,2016,0.0741644593024187,0.0594090179279845,8.99019031319816,0,0,0.045
1017,2017,10.2840988967849,0.0575787600627311,4.76967009476047,0.04,0,0.015
1018,2018,0.0891696472857799,0.0491074427794963,7.74909732430945,0,0,0.045
1019,2019,10.4954525103427,11.1768284742424,2.28935875057469,0.045,0.05,0.015
1020,2020,0.0972216379013727,0.0894905694850049,9.24839034765833,0,0,0.04
1021,2021,0.0574539445219017,0.202136987746429,8.01865114432982,0,0,0.04
1022,2022,0.804627997430777,0.0979827082403075,3.49690040452834,0.005,0,0.015
1023,2023,0.0867604670421365,0.885889586836669,8.63326134437453,0,0,0.045
1024,2024,4.66662237908558,0.812509976930361,10.6197930841218,0.02,0,0.05
1025,2025,13.3521298901708,0.0346087284951969,5.32608603193858,0.045,0,0.015
1026,2026,0.0499314761252316,0.0917747341297019,7.9690323194941,0,0,0.04
1027,2027,0.0580288295502026,0.606842017903533,12.3670054522102,0,0,0.045
1028,2028,0.0595813462583637,0.0631257156120761,2.17069508221408,0,0,0.015
1029,2029,0.0202440228511381,0.671392196085642,0.341791124455701,0,0,0
1030,2030,0.0581462517999274,0.094922955276244,3.8961826070082,0,0,0.015
1031,2031,0.0908507652005694,0.0570026477550761,0.543816987722281,0,0,0
1032,2032,0.0609373474388725,0.0874464247314272,10.0583387438917,0,0,0.045
1033,2033,0.166287758073829,0.0942699615948906,3.14101427277904,0,0,0.015
1034,2034,0.0556024465004383,3.6490432517896,8.03573734215599,0,0.015,0.045
1035,2035,0.134570869096404,7.90718141721801,10.1402910110279,0,0.03,0.045
1036,2036,0.108870059401451,13.9321475785561,12.1835498199662,0,0.045,0.045
1037,2037,0.0387706879606821,1.41750154764417,10.0351175961685,0,0.015,0.045
1038,2038,4.56217809195233,5.99732331575744,9.77235756429084,0.015,0.02,0.045
1039,2039,2.93033752093821,0.080708969959341,0.875146318598412,0.015,0,0
1040,2040,0.063290260988257,0.0639908833489278,9.03819132776387,0,0,0.045
1041,2041,0.117556266297318,1.72309374752013,7.02164097897362,0,0.015,0.045
1042,2042,5.75801205186069,3.36100876580712,5.44735238243724,0.02,0.02,0.02
1043,2043,0.100717483023979,0.111103265005514,1.54788726906524,0,0,0.015
1044,2044,0.0394841696147778,4.27767379105687,10.2339196708924,0,0.02,0.045
1045,2045,0.112312159246406,0.21984949375312,2.10339861012897,0,0,0.015
1046,2046,6.26962641716286,6.96850970979256,9.85197227674174,0.015,0.015,0.045
1047,2047,0.911293427703486,0.0349060065609236,10.6477735727456,0.01,0,0.045
1048,2048,1.67305766571989,0.0527049120108185,4.25517895643871,0.015,0,0.015
1049,2049,1.03254869400607,6.61857675206665,4.81383058140951,0.01,0.015,0.015
1050,2050,0.155672744581256,6.37940214516578,11.9222754188059,0,0.02,0.045
